,rating,title,review
15,1,Fraudulent Business Practices,"I booked a resort vacation through Allegiant Airlines at Sunseeker Resort, which is owned by Allegiant Airlines. The vacation included roundtrip airfare and three nights accommodations. The flight was scheduled for today, but last night, Allegiant Airlines cancelled the flight…"
16,1,Don’t fly Allegiant,Booked flight 1/11-1/14 for my wife. Cancelled 1/8/24 do to my wife’s illness. Was given a 1 time courtesy of $75 so no fee was charged to cancel. I then booked a trip for 1 week later for both of us to see a home in Florida which we planned to purchase. The booking was…
17,1,Worst customer service of any company or industry,Our flight was cancelled due to weather which is understandable but it’s after canceling allegiant does nothing to help reschedule a flight and you will pry be on hold for a day before someone will answer I only lasted 2 and half hrs before I gave up and just found a new flight…
18,1,Avoid at all costs. Don't skimp on allegiant.,"Allegiant just cancelled my bna-bzn trip less than 24 hours away. Tried calling customer service, Jennifer picked up after 23 minutes said hello 5 times and hung up. There's nothing wrong with my phone...I have non-refundable hotels, rental car, and activities planned. New…"
19,1,horrible experience,"I was just on an allegiant flight this morning. I hadn’t been feeling well all morning, I believe it was food poisoning. However, during the flight, I had gotten up to use the bathroom because I knew that I had to vomit. The flight attendant rudely told me to sit down and that I…"
20,1,Find a different airline,"First was delayed an hour because crew member was late to work. Then delayed 2 hrs because plane door wouldn’t close and couldn’t be fixed. So had to exit to different plane, now this plane has maintenance issues so we’re delayed again. 3.5 hours past departure with no end…"
21,2,Sketchy scam at checkout,"Website changes seat prices by $30 at checkout after saying ""oops something odd happened"". When you Redo booking at that higher rate you are able to select the same seats? Sounds intentional to get extra money for the seats as it happened to us and friends booking days apart."
22,1,Would not recommend,"Would not recommend this airline to anyone. They delayed my flight from 4 PM  to 530 PM, then at 405 PM they sent out a text saying they moved it to 445 PM. Due to this flip flopping in scheduled departure time, my toddler and I did not make it in time. Never have I ever had an…"
23,1,Never again!,"I will never fly this air line again, we have been delayed over two hours and on top of that, the plane finally lands and took forever to get on the plane. Clearly this air line does not have anything together, it might just be a day but I will never fly them again."
24,1,Avoid at all costs,I am so frustrated with Allegiant. They are the only airline to have you pre-pay for your pet but then will not refund you if your plans change. Yet you have to reserve your pet in advance.  I wanted to make sure there would be space for my dog over the Christmas holidays so I…
25,2,Don't Check A Bag,"At the Phoenix-Mesa Gateway Airport we waited 1 hr and 20 minutes  to retrieve one checked bag. It was midnight when we landed, so it made for a rough start for our vacation."
26,1,Terrible experience from start to finish.,"Terrible customer service. Pure chaos at the terminal. Employees areclueless about policies and ucaring/rude toward passengers. After debarking feom a cruise, we arrived at the airport several hours ahead of time for a 5:30 pm flight. The Allegiant employees at the baggage check…"
27,5,Allegiant flight,My travel companion had a panic attack upon boarding the plane. The gate crew were very compassionate in assisting him back to the boarding area and made sure our luggage was taken off the plane. They called the paramedics and airport security who assured us the delay was not…
28,1,Damaged luggage ,"2 hour wait to check bag, got to plane as it was boarding, then they tagged my luggage as damaged yet they make almost impossible to get compensated have their card but since I don't plan on using them again time to cut that up"
29,1,You suck!!!!,"Allegiant sucks!!!! First of all had a 4 hour delay at airport. Then finally got boarded and waited 45 minutes for paper work to be filled out about a patient with a medical issue. They said we couldn’t fly until the paperwork was complete. Then they say, we’re ready to go.…"
30,1,Don’t check a bag!,"Flight was ok - it was after landing that was terrible. Our luggage sat on the plane for an hour, before they finally started unloading it (thank you Apple Airtag). This is the Cincinnati airport - not big and definitely not busy. No excuse to wait an hour before you even start…"
31,2,Rude staff and extra charges at every turn. ,"I didn’t have any issues on my flight from Phoenix to Spokane. I am a photographer so I travel with very expensive gear. On my way back, they wanted to charge me $150 for my bags! They were so rude, and I was shocked as I wasn’t charged anything on the way down. And there is no…"
32,2,Ridiculously Inefficient and Exhausting ,"Allegiant check in is ridiculously inefficient.   Even having pre-boarded online, bag drop on outbound and return flights took over an hour.  We arrived the two hours before our flights only to have Allegiant call passengers for every single upcoming flight to jump line in front…"
33,1,Delayed. Small seats . Rude flight attendent,Horrible  Rude flight attendents.  Waited 20 minutes for them to open door. Another hour for luggage . I will never fly allegiant again
34,1,Terrible experience,Flight was delayed a few hours and when I asked if they could manually count people to get us on the flight since the plane was already here they said they couldn't. After a few hours they said they could now print a physical list and count people but we still haven't boarded.…
35,1,Allegiant SUCKS!,"This airline is terrible!  First they took 45 minutes to get our luggage out, then my hardside bag was torn up.  My return flight is now over 2 hours delayed with no end in site and the pilot keeps saying ""welcome aboard"" everyone when we have been on this plane for over an hour…"
36,2,disappointed…..,i left my water bottle at the gate and they wouldn’t grab it for me. i know it wouldn’t have been their top priority but we explained that the water bottle meant a lot to me and they still didn’t seem to care much. it couldn’t have been that hard to get a water bottle at a gate…
37,1,"Missing Luggage, Missing Items in Luggage, Claim Denied","We flew on Dec 7 and, upon arrival, did not have our luggage. It was then shipped the next day and had items missing. I called in when I got back to Wichita on the 11th, and they said, ""No worries - we have a process for that. Your confirmation is your claim number. Get a list…"
38,1,Allegiant is impossible to contact and they don’t care ,I have been trying to change my flight since Tuesday— it’s now Friday.  Their website has a glitch and won’t allow you to do this online. The chat attendant cannot help.  I called the Allegiant cardholder assistance line and was on hold for hours for three days in a row.  Left a…
39,1,DO NOT FLY THIS AIRLINE IF YOU HAVE LOWER BACK PROBLEMS!!!,The seats were horrible for my lower back despite having ample leg room.  Back spasms for days after
40,1,Terrible experience. Poor planning. Poor flight attendants ,Crabby crew. Flight attendant showed up late so flight was delayed. Ice on the plane so they just sat in the sun for extra 30-40 minutes.  Wouldn’t let people move to empty rows.  Ended up leaving 40 minutes late. Terrible experience 
41,1,Good luck with that...,"Nobody was at the desk for a good while before they closed and no one could get a hold of them. I called their customer service number for help, freaking awful customer service with horrible attitude and didn't help at all. And yes, I missed my flight."
42,1,AWFUL,HORRIBLE. HORRIBLE. HORRIBLE.  Stop f****** cancelling flights the DAY OFF and rescheduling them for the NEXT DAY.   Figure it out. It’s BS.
43,5,As it should be.,All around excellent. Counter staff at check-in were great to work with.  Boarding was easy. Seat was comfortable. 
44,2,Worthy of a Hollywood comedy,"I'll give this a two-star because when a Hollywood producer turns my experience into a movie, and I become a millionaire, I can at least thank them for the inspiration. Or at least Air Disasters needs a tongue-in-cheek spinoff on bad experiences and make this their pilot.  I…"
45,1,It Sucked,These JERKS cancelled the flight at 3 am the day of the flight. Screwed up all our  plans and reservations. Won't be flying Allegiant again. My Flight was supposed to be to Port Charlotte Fl. where your resort is located. Won't be stopping by your new resort either. Hope it…
46,1,Sent SO to different airport. 13 HOUR MISFLIGHT,they managed to miss the landing and send my significant other to a location that is a 13 hour round trip distance. I can not believe how incompetent of an airline you are to do this to customers who have paid over $300 for the airfare.
47,1,Lost bag no reimbursement ,My first time ever flying this airline. It will be the last. The airline lost my bag and I had know immediate way of knowing where it was. I attempted to call the customer service number to file a lost bag claim but only got voicemail. Eventually I was contacted and was told…
48,1,Lost a customer for life,Delayed 4 times from 10pm to 5am and then cancelled at 4:30am. That’s not how you treat people. The $200 voucher is worthless. 
49,1,Should Not Be In Business ,A 9:50 PM scheduled departure occurs at 5:02 AM with no allegiant employees at the airport or answering the service line.
50,1,Poor check-in.,Been in line for over an hour JUST to check my baggage.  This is absolutely ridiculous.  No staff.  
51,1,Surly Customer Service,First flight with Allegiant and will likely be my last. Cancelled flight on Xmas eve with no reason given. Website overwhelmed with reschedules and not working properly so could not rebook online. Sat on hold for 30 minutes waiting for customer service that was clearly upset she…
52,1,Missed our flight on Christmas,"Overall worst customer service we have ever experienced. My family and I were travelling to Orlando for the holidays, since it is the only time of year we all have off from our jobs.   We got to the airport early in the morning on December 23rd, on my mother's birthday, three…"
53,3,You get what you pay for and this was a bargain. ,"I was a little reluctant to fly a cut rate, no frills airline but was surprised at the economy of Allegiant compared to major airlines.  The departure airport is closer to home and the arrival airport was closer to where I wanted to be.  They do nickel and dime you over…"
54,2,Inept ,"First time flying with them. Terrible experience all around. Gate service was poor/inept, take your pick. Announced gate change as they started boarding at the new gate. Just overall poor. Won’t be using them again. They are way overpriced for what they offer."
55,2,Uncomfortable seats,"The new seats in the air plane were absurdly uncomfortable.  They have smashed you in like sardines, zero leg room, and almost no cushion on the sets.  2.5 hr flight and my rear end was numb when we landed on both flights.  FYI economy so no entertainment, no food, no drinks,…"
56,1,Garbage Airline !!!,"This is my top pick of worst airlines to fly! You guys always  disappoint !  Your consistent ! It's either mechanical or ""weather."""
57,1,Horrible PLANE ride,Plane ride was horrible said it was a 2 hour flight and I’ve been on this POS for 3 hours… Cause apparently we landed 30 min early… whitch that makes a lot of sense…. No communication. Horrrible wish I could cuss every one of them out. Stilll waiting
58,1,Awful,"This airline assigned pilots to our flight who were not legally allowed to fly the airplane, but didn’t realize this until the plane was taxiing towards the runway. Now we are stuck on the plane on the runway with no pilots to fly the plane."
59,1,Worst of the worst.,LEARN HOW TO TREAT YOUR CUSTOMERS WITH RESPECT. This is the 2nd time my family has had an issue with YOUR airline. My grandparents are 80+ years old and cannot walk very well. The audacity your employees have at Ft. Lauderdale and Asheville NC airport is astonishing. They…
60,1,"Failed Engine, Flight Cancelled, 18 hours trying to get a refund.  to even sure I got it.","Nightmare.  We backed away from the gate considerably late.  got 50 feet away and they had to shut the left engine down.  Sparks I heard.  After having the fire department come, a mechanic and ordering a part, they finally cancelled the flight.  I was actually glad they did.  I…"
61,1,Very questionable service read before purchase.,Booked a round trip. Missed departing flight. Cancelled return. They said I couldn’t get return funds because I didn’t cancel more than seven days. I did within four.
62,4,"No frills, no hassle, no problems","We were delayed, leaving Allentown due to a mechanical issue issue that required a substitute plane and subsequent burning of excess fuel.  Other than the late departure the trip was fine.  Allegiant is focused on tourist destinations from small- to medium-sized airports and…"
63,1,Bad decision on my part to use this airlines!  Never again!  Ended up costing me nearly $900.00 for one way!!!,"Friday return flight to Cincinnati cancelled.  Received notification of this while in taxi on way to airport just 15 minutes prior to our required two hour arrival.  Told flight had mechanical difficulties but plane wasn't even on airport grounds.  If we needed to get home, our…"
64,1,Poor timing,"Flight was being delayed time after time after time. Do not recommend anyone waste their time at this airport. Unless you love being frustrated, just go to MSP and avoid this mess."
105,1,Rude and illegally charged carry on,I was charged $75 for a backpack which fit under the seat. The woman that charged me was very rude.
106,1,Alligent   or should we say Tradactile airlines,"I understand this a low cost airlines, but really 5.00 if you need them to print a boarding pass. I did not need one but not every one is that computer savy.   Worst flight, ever worst airline ever,   rude flighht attendents real attitudes.  like there running an army base and…"
107,5,My trip back home. ,"I’m uncertain of the two women that I spoke with at the kiosk upon arrival to BNA but I was beyond satisfied with their ability to point me in all of the right directions. I’m military so I typically travel back and forth from home periodically, I have tried several different…"
108,1,Bad experience ,"Arrived at the airport early. Flight was late, finally borded and sat for awhile being assured it was only going to be “a few minutes”, was not . Plane was evidently broken so had to get off, wait for another plane to land, unload, get cleaned up and get us on. While we are…"
109,1,Allegiant Fan Football fan package,Very disappointed with Allegient. They failed to provide us with Las Vegas Raiders game tickets to their Dec. 10th game.  I reserved 3 rooms for 2 night stay at New York/New York casino back in June 2023.  They offered a fan football package that included up to 2 game tickets…
110,2,NEVER BOOK A PACKAGE WITH ALLEGIANT! ,"Allegiant was on time, both ways, so that was a plus. The seats are tight on everything and do not recline at all, even water costs additional. The complaint I have is with the PACKAGE I bought, air, car and room. When I rented the car I had to pay all the taxes, about $50. The…"
111,1,Most uncomfortable,"Wow, this is the second time we flew Allegiant (flew up north many years ago and had significant delays and airport circling) and it was bad both times with this trip slightly better. We had to fly up north for a funeral and booked this last minute. The airport is fine but this…"
112,1,Bad airline ,Worst airline got to the airport bags checked in got to customs and found out flight canceled till next day had to get another hotel and uber. And then I bought the insurance and no compansation at all. 
113,1,Vouchers,"I will never fly Allegiant again, after having to cancel my flights due to a hurricane that took my vacation home in Florida, 2 weeks before I was supposed to go. I canceled my flights and instead of getting my money back, they sent me ‘vouchers’ to use. Which weren’t even for…"
114,1,Watch out!!!!!,I purchased a package deal 2 round trip tickets to Phoenix and a 10 day car rental for over a thousand dollars. Upon returning the car I was charged an additional $270 by Alamo. I had already been charged over $500 for the car rental on the package agreement. When talking to a…
115,1,Very Poor Customer Service shown to this Veteran who was without his identification at check-in.,"I am responsible for not having Veteran verification on my person at check-in.  Agent rightfully charged me for 3 bags, $225 with note attached of such & said to call 702-505 8888 & possibly get refunded.  I called, sent a required email with a picture of veteran verification 3…"
116,1,Heartless Airline,allegiant is now operated under southwest airlines. they are supposed to to be known for serving their customers with heart. i recently had a flight scheduled and my mother passed 2 days prior to my departure. they would not credit me or reschedule my flight. they should truly…
117,1,DO NOT FLY THIS AIRLINE,"The seats are horrible on this airline, they HURT. The water is so expensive, the landings are SO BAD and the staff are rude. The flights are always delayed, and the cabin is very dirty. I WOULD NEVER FLY THEM AGAIN."
118,1,Not recommended,"If you have no issues with your flight (delays or cancellations), then this airline is fine. I’ve used it several times over the last six years to fly to smaller airports. Yet, if you have delays or cancellations, this company has been a nightmare to work with.   I had a flight…"
119,1,Frustrating,Flight delayed for 4 hours .  Return flight is now also delayed.  Really poor service no compensation offered.  Will no fly with them again.
120,1,Stranded in Las Vegas,The day before Thanksgiving one of the busiest travel day of the year... I got caught in the security for over and hour and arrived at the gate 15 mins before the flight was scheduled for departure... After running to the loading area found the door closing. I was confirmed on…
121,1,Took my money and run!!!,"Booked 2 flights to Las Vegas n late 2019 for travel spring break 2020. Unfortunately this Covid -19 had other plans. As a Canadian traveller who had used this airline in the past could not cross the border due to closure during the better part of a year, the airline gave me a…"
122,2,YOU FORGOT TO FLUSH,"I would give 1 star but giving 2 stars to Allegiant Air because the pilot landed the plane with perfection and most of the crew were nice except for Joriseca/Janerica, whatever your name is. This flight attendant walked all the way from the back of the plane to my seat to tell…"
123,1,Dissatisfied ,"Very disappointed with this airline. Definitely need to look at doing a hiring fair or incentives for lack of absenteeism with employees. Flight to LAX delayed twice, 2 hours each time and explanation was that flight had to be delayed due to staffing issues and delay of prior…"
124,1,Rude,The allegiant employees at mesa gateway airport are rude and very unorganized we missed our flight because allegiant air employees were very unorganized in a full capacity situation I'm very disappointed in your service 
125,1,Disgusting disservice to military veteran families,Do not use Allegiant especially from Austin airport. They are 20 min away from actual airport with no signs stating this. Had to search for someone to advise where the allegiant desk is. Then waited 30 min for their bus to pick us up. No one at the counter to assist. Left and…
126,5,LIZ ROCKS!,"After hectic rush to get to airport for early flight with large group an infant, Liz in ticketing/ bag check at PIE was a pleasant and refreshing experience.  Of course our bags were overweight and she worked with us and let us adjust to get the needed weights to avoid the hefty…"
127,1,"Beware, they don't care","I started using Allegiant Air because they were the only airline with a flight from Portland, or to Provo, UT.  I knew this was an economy airline and thus an economy experience (ie. You pay from every little extra) but now have experienced the poor customer service and lack of…"
128,1,"Horrible customer service on the phone, they do not care about the travelers","Horrible customer service in the phone, we got at the gate 2 minutes after they closed the gate, they did not even try to  let the flight attendant we were there, my luggage was on the plane, they did not care. To try to get it out,  Even thought I explained why were late and…"
129,1,Bad handicapped experience,I am handicapped and selected to get a wheelchair pick up at the curb  there was no one there and no one to call So I had to try and get help from another airlines When arriving at Melbourne someone was there but didn’t speak English took me to the curb and then left me there…
130,1,Absolute WORST airline!!!!,"This airline is terrible!!! I cant even believe they are still in business. Rude flight attendants, bad service, cancelled flights, dropping you at wrong destinations, and very unprofessional.  This company is a complete disgrace to society and how companies are expected to…"
131,1,Find a Real Airline,"I'm to pick up some today 11/16/23, the flight was delayed, I called this airline for eta, they refused because I only had the flight #; AAAAAAND REFUSED TO GIVE ME A SUPERVISOR & HUNG UP ON ME"
132,4,Great customer service ,"The plane felt larger than the other commercial airlines and allowed more room for passenger comfort, which was nice. The pricing for tickets was also reasonable and affordable! The staff is also absolutely amazing. Wonderful customer experience and will be referring people to…"
133,1,Constantly canceling flights ,"Horrible airline, flights are constantly canceled for no reason.  I will never fly this airline again "
134,5,Wonderful staff and flight,Wonderful employees and they were so friendly to my son on his first flight especially the gate staff! I always fly Allegiant if they have a flight available. 
135,1,I'm have no allegiance to allegiant air,I hate to pile on here but I've never had a worst experience than with Allegiant Air. In fairness to them the Asheville airport did not help. Ultimately we were delayed about 3 hours so I've had worse delays but the reason why it was a bad experience is because of the lack of…
136,1,Allegiant Airlines Doesn't care,"In October 2023, My wife and I flew home after a great getaway in Fort lauderdale/Miami,  We flew on Allegiant Air, Every thing was great until ,we arrived in Memphis, our bag was damaged, my wife undergarments hanging out of bag, It looked like someone rampage through the…"
137,1,Avoid Allegiant Air ,"Allegiant air flies out of my hometown, about 10 minutes from where I live. The convenience is the only good thing I can say about allegiant. I will never use this airline again. If my only choice is to fly allegiant or walk, I will walk. I booked a flight and they charge for…"
138,1,Allegiant Airlines Customer Service nightmare,"I think we can all agree, on so many levels, we are seeing and experiencing things we never thought we would. One thing in particular is service or the lack thereof…customer service to be specific. Whether it be the food industry, retail, any kind of service, or simply taking a…"
139,1,Avoid Allegiant,"Allegiant is the kissing cousin of spirit.  Every time I travel to NC, they are the only direct flight and I ask myself if riding a unicycle, with no seat, would be a more pleasant travel experience.  Horrible airline, avoid at all costs. "
140,1,Billed 2 times for 1 flight,"Billed twice. Cannot get help through, phone ,chat or e mail. I booked a flight in Septrmbrt $276.00 . Web site froze. No confirmation etc. Booked again on 10/5 .  Billed $296.00. Took flight 1 time."
141,1,Broken Check In Process,The web portal and app used to check in / access boarding passes aren’t reliable. Our group of five completed the check in form online using both the web portal and the app but never received our boarding passes and were advised to speak to a gate agent. Our boarding passes were…
142,3,Tight squeeze to Albany,"Both to and from were on time and smooth. That being said, there is very little space for legs, and the drop down tray is very small. Flight attendant on return trip was in no mood to be nice.  Very bossy. What began as a cheap flight quickly turned into not so cheap after all…"
143,1,I’d give this airline 0 stars if I could! ,"I’d give this airline 0 stars if I could. This was our first and LAST time flying allegiant. We flew from Hagerstown MD to Orlando/Sanford Florida with our three kids to Disney, one being a lap child. Not only did our flight on the way there get delayed by not one, but seven…"
144,2,A hole flight attendants ,Rude flight attendants on this flight. Very unfriendly. Delayed flight. No legroom . You get what you pay for. 
145,3,Rude Flight Attendants ,The flight attendants were extremely rude. They went so far as saying the toilet at the front of the plane was out of order. Even turned people away although they continued to use it during the flight. 
146,1,"Cheap Airline - not customer-driven. No refunds, even in difficult circumstances","Unfortunately due to unforeseen circumstances (visa delays with US embassy in Ireland), I had to cancel my family's trip to the US, which was part of a booking with Lastminute.ie and Allegiant AIr. Even though I had proof of the visa delays, the airline was not willing to refund…"
147,5,First Time and won't be the last.,"First time flying with the airline and it could not have gone better! On destination and return flights, was able to leave gate 25 minutes early and arrive 30 minutes early. Luggage was out as I got to baggage claim. The entire staff, from check in, to flight attendants, to…"
148,1,Avoid Allegiant air at ALL COST,CUSTOMER SERVICE SUCKS!!!! Luggage never came off belt upon arrival. Had to wait 45minutes for other airline reps to track down contracted Allegiant rep. She could not access computer system to track bag but filed “delayed” bag claim. Spent over an hour on their 800 number which…
149,1,Not worth it,"To hard to book online, want you to pay everything extra. They know exactly what there doing. Hard to even post a review  Shame on you allegiant  "
